1,481,390,330,270,210,150,123,90,60,35,20
450,5.96308,7.14319,7.75735,9.02757,11.6868,15.6028,15.029,14.3131,12.6139,6.79298,15.9621
460,10.1339,13.1804,15.1691,16.3614,20.661,23.6903,23.856,19.4483,15.2639,7.20164,14.7032
470,18.0909,23.2564,26.4006,27.7672,32.4676,35.0031,30.7158,25.9386,19.4924,7.71501,13.3342
480,24.4536,36.0149,39.2274,39.4252,43.1147,43.0273,36.8762,29.5231,19.0317,7.26747,10.9454
490,33.4543,48.0079,50.1968,50.7242,53.4494,49.1606,41.3058,32.1533,19.2729,7.07115,8.92616
500,42.0275,60.1496,62.3184,59.1371,62.74,54.076,45.1079,34.3995,20.3016,6.4791,7.74498
510,48.9275,72.8253,71.5598,69.0124,70.6157,57.7937,48.9715,35.1875,21.0465,6.26492,6.1396
520,56.6378,81.0706,81.7628,77.6625,77.0118,63.0815,51.7945,37.3235,21.0691,5.83973,5.49022
530,64.001,92.6604,92.0943,83.629,81.2683,66.0883,54.5293,39.1871,20.9297,5.34439,4.15064
540,68.4648,97.5459,98.8268,89.6715,85.227,68.8227,53.8072,39.3879,19.9618,4.90788,3.47371
550,72.9928,105.64,105.529,95.3706,89.8907,72.7839,56.3566,40.5525,20.3855,5.3561,2.89929
560,77.8835,110.663,108.635,99.3651,91.3478,73.8769,55.2266,38.5523,19.9632,3.88505,2.10476
570,79.8277,116.11,114.332,99.3614,93.0664,71.3454,55.8897,38.313,18.9818,3.39572,1.72371
580,83.8222,119.323,117.893,101.97,92.9703,74.1069,55.2529,36.5725,18.1969,3.23448,1.55846
590,88.8211,119.189,118.551,101.08,92.8114,69.3963,51.2394,35.0725,15.8863,2.51896,1.19191
600,87.1835,119.974,114.742,99.5516,88.185,65.9825,50.1857,33.4046,14.737,2.29695,1.18112
610,87.1678,119.25,112.804,97.3205,85.4493,63.2934,46.3328,30.2454,13.74,2.54022,0.793916
620,83.928,117.878,112.636,94.553,81.9116,59.5562,43.0909,28.8178,12.3445,2.24292,0.630941
630,81.1414,113.216,108.745,88.0929,79.3837,55.4995,39.9825,25.6142,11.9696,1.77573,0.591712
640,77.6366,108.467,104.208,87.7675,71.7178,51.665,38.0311,25.0515,10.5383,1.61527,0.490303
650,74.4854,101.243,95.7232,78.1254,67.8661,47.2712,33.5484,21.2911,9.2477,1.30135,0.346543
660,70.2733,97.6551,90.1964,73.5938,64.5615,43.4358,30.3074,19.3186,8.54542,1.04972,0.312228
670,64.5227,90.9871,83.6249,66.3945,59.4631,40.1137,27.7872,17.0071,7.20964,1.02966,0.330393
680,61.1634,82.62,76.6349,61.1619,51.0617,35.0018,24.1895,14.9467,6.28793,0.867931,0.32946
690,55.7162,76.2905,74.6038,55.9094,45.4298,31.2606,21.6012,14.4456,5.78791,0.742737,0.350649
700,54.4172,69.375,62.5832,50.5269,42.669,28.3394,17.8515,10.7291,4.51466,0.464096,0.164656
710,44.3725,62.651,59.3385,46.327,38.6637,25.0815,18.687,10.7979,3.97195,0.477071,0.0776724
720,42.6239,59.8733,52.7703,41.7097,33.3405,22.1011,14.4189,9.79418,3.9933,0.45738,0.0319691
730,37.7744,50.6806,48.2228,37.4852,27.6,18.513,13.1783,7.49579,3.70423,0.443221,-0.00510189
740,35.2849,48.9771,42.946,34.05,26.6067,17.2102,10.5257,6.56786,2.8832,0.38468,0.230834
750,31.1988,44.5882,38.2443,29.0328,24.5443,15.5337,10.5518,6.31959,2.2772,0.288118,0.0953175
760,30.8054,39.1111,34.7659,26.5412,22.1925,14.2519,9.66168,4.98524,2.44053,0.359119,0.0988738
770,25.3914,36.0892,30.5414,26.3209,18.7122,11.9517,8.31116,5.01682,1.57388,0.349454,0.0439812
780,23.4535,28.4724,31.432,21.1375,18.8613,11.6755,6.99583,4.75032,1.70385,-0.0134167,-0.00259219
790,20.9041,28.345,25.2237,17.728,16.9097,10.136,7.66027,4.71568,1.97016,0.374854,0.195408
800,22.0035,27.1611,21.8705,16.1529,13.7369,8.62875,6.8272,3.1069,1.58256,0.389291,0.110399
